,0
SeasonStrength_GDDiff,50
SeasonStrength_PtsDiff,50
Away_AvgGD_season,50
Away_AvgPts_season,50
Home_AvgGD_season,50
Home_AvgPts_season,50
FormDiff_Pts_last10,19
FormDiff_GF_last5,19
FormDiff_GA_last5,19
FormDiff_GD_last5,19
FormDiff_Pts_last5,19
FormDiff_Pts_last3,19
FormDiff_GD_last3,19
FormDiff_GD_last10,19
FormDiff_Pts_trend_3v10,19
Home_Pts_last3,16
Home_GD_last3,16
Home_Pts_last10,16
Home_Pts_last5,16
Home_GD_last5,16
Home_GA_last5,16
Home_GF_last5,16
Home_GD_last10,16
Home_Pts_trend_3v10,16
Away_Pts_last5,13
Away_GF_last5,13
Away_GA_last5,13
Away_GD_last5,13
Away_Pts_last10,13
Away_Pts_last3,13
Away_GD_last3,13
Away_GD_last10,13
Away_Pts_trend_3v10,13
Away_CleanSheets_last5,0
Home_Wins_last5,0
OddsSpread_D,0
OddsSpread_A,0
IsWeekend,0
Weekday,0
Month,0
IsHomeAlways1,0
FormDiff_Conceded0plus_last5,0
Home_CleanSheets_last5,0
Home_Conceded0plus_last5,0
Away_Wins_last5,0
FormDiff_CleanSheets_last5,0
FormDiff_Wins_last5,0
Date,0
Away_Conceded0plus_last5,0
OddsSpread_H,0
Div,0
Margin_PS,0
PSD,0
B365A,0
B365D,0
B365H,0
AR,0
HR,0
AY,0
HY,0
AC,0
HC,0
AF,0
HF,0
AST,0
HST,0
AS,0
HS,0
FTR,0
FTAG,0
FTHG,0
Referee,0
AwayTeam,0
HomeTeam,0
PSH,0
PSA,0
Prob_A_ps,0
BbMxH,0
Prob_D_ps,0
Prob_H_ps,0
OddsDiff_B365,0
Margin_B365,0
Prob_A_b365,0
Prob_D_b365,0
Prob_H_b365,0
TotalGoals,0
GoalDiff,0
CardsDiff,0
FoulsDiff,0
CornersDiff,0
ShotsOnTargetDiff,0
ShotsDiff,0
Season,0
Bb1X2,0
BbAvA,0
BbAvD,0
BbAvH,0
BbMxA,0
BbMxD,0
OddsDiff_PS,0
